week,puccini,verdi,mozart,wagner,bizet
2006-03-12,8,15,24,9,6
2006-03-19,7,11,23,12,5
2006-03-26,4,13,16,14,6
2006-04-02,13,25,23,12,4
2006-04-09,4,13,28,10,4
2006-04-16,6,21,19,5,4
2006-04-23,8,26,18,9,4
2006-04-30,8,15,19,16,8
2006-05-07,4,22,19,10,5
2006-05-14,5,28,20,8,4
2006-05-21,8,13,18,6,6
2006-05-28,7,30,24,8,7
2006-06-04,9,11,19,9,4
2006-06-11,5,17,12,9,4
2006-06-18,13,16,12,5,5
2006-06-25,15,15,13,14,5
2006-07-02,7,10,13,6,5
2006-07-09,6,9,9,6,5
2006-07-16,5,10,10,4,14
2006-07-23,6,11,13,7,10
2006-07-30,8,8,12,3,11
2006-08-06,11,9,14,6,12
2006-08-13,8,12,9,9,14
2006-08-20,9,26,13,7,15
2006-08-27,9,16,13,5,17
2006-09-03,6,21,12,9,9
2006-09-10,29,12,13,11,4
2006-09-17,7,11,15,10,3
2006-09-24,9,19,29,6,6
2006-10-01,6,17,21,12,5
2006-10-08,6,44,17,7,11
2006-10-15,4,15,24,8,16
2006-10-22,6,19,20,8,9
2006-10-29,6,13,14,7,4
2006-11-05,12,15,14,7,6
2006-11-12,14,15,15,8,4
2006-11-19,7,19,13,5,3
2006-11-26,7,9,20,11,3
2006-12-03,12,14,15,6,3
2006-12-10,7,35,16,7,4
2006-12-17,5,8,16,7,4
2006-12-24,5,12,14,8,4
2006-12-31,12,6,15,6,4
2007-01-07,9,11,13,5,4
2007-01-14,8,20,11,9,4
2007-01-21,7,23,11,8,5
2007-01-28,14,36,14,6,4
2007-02-04,24,13,15,6,4
2007-02-11,9,12,12,8,4
2007-02-18,7,11,10,9,2
2007-02-25,9,17,12,13,3
2007-03-04,8,14,9,7,3
2007-03-11,10,17,13,10,4
2007-03-18,9,13,12,8,4
2007-03-25,7,13,12,8,2
2007-04-01,9,13,10,6,3
2007-04-08,6,12,9,7,4
2007-04-15,7,11,12,8,4
2007-04-22,16,21,13,8,3
2007-04-29,5,12,12,9,3
2007-05-06,13,21,11,5,5
2007-05-13,16,14,9,8,2
2007-05-20,15,9,14,5,7
2007-05-27,6,16,10,6,2
2007-06-03,8,12,10,7,3
2007-06-10,11,11,11,6,2
2007-06-17,7,12,9,5,2
2007-06-24,7,9,7,4,3
2007-07-01,6,13,8,5,3
2007-07-08,6,22,9,6,3
2007-07-15,7,7,8,6,3
2007-07-22,7,11,6,6,2
2007-07-29,6,13,8,6,3
2007-08-05,5,11,8,7,2
2007-08-12,7,13,5,5,6
2007-08-19,8,10,8,7,3
2007-08-26,7,12,9,5,3
2007-09-02,13,20,12,6,5
2007-09-09,9,13,11,5,4
2007-09-16,6,11,7,7,5
2007-09-23,6,12,8,9,2
2007-09-30,7,12,16,7,3
2007-10-07,9,19,9,5,3
2007-10-14,27,33,8,8,3
2007-10-21,10,11,12,8,3
2007-10-28,5,10,10,5,3
2007-11-04,8,12,9,6,4
2007-11-11,6,13,13,4,3
2007-11-18,9,13,10,5,2
2007-11-25,5,13,9,5,3
2007-12-02,7,11,8,6,4
2007-12-09,6,36,10,6,4
2007-12-16,4,10,10,6,2
2007-12-23,7,11,7,5,3
2007-12-30,8,18,10,6,3
2008-01-06,6,13,10,7,2
2008-01-13,7,16,11,6,2
2008-01-20,6,10,12,7,3
2008-01-27,6,11,8,7,3
2008-02-03,4,22,13,6,3
2008-02-10,8,12,10,5,2
2008-02-17,6,13,11,9,2
2008-02-24,8,16,10,6,2
2008-03-02,7,11,9,7,10
2008-03-09,11,10,10,7,3
2008-03-16,6,9,10,8,3
2008-03-23,6,15,10,8,2
2008-03-30,6,12,9,15,4
2008-04-06,5,11,12,8,4
2008-04-13,7,22,8,7,3
2008-04-20,9,15,11,6,7
2008-04-27,6,9,10,6,2
2008-05-04,6,10,11,8,4
2008-05-11,4,7,10,7,4
2008-05-18,6,10,10,4,3
2008-05-25,5,9,7,5,4
2008-06-01,6,12,10,5,2
2008-06-08,3,9,8,6,4
2008-06-15,4,13,7,6,4
2008-06-22,6,7,7,4,3
2008-06-29,5,9,8,4,3
2008-07-06,6,7,9,5,3
2008-07-13,5,7,8,4,4
2008-07-20,19,8,6,6,2
2008-07-27,7,7,10,4,2
2008-08-03,7,7,14,6,2
2008-08-10,5,7,9,5,2
2008-08-17,5,10,10,5,2
2008-08-24,5,11,10,4,2
2008-08-31,6,9,8,5,6
2008-09-07,5,10,8,5,3
2008-09-14,9,10,8,4,2
2008-09-21,9,14,12,4,2
2008-09-28,6,15,14,5,3
2008-10-05,6,9,12,5,2
2008-10-12,6,10,10,8,2
2008-10-19,11,16,9,15,3
2008-10-26,4,18,11,9,3
2008-11-02,6,11,12,9,2
2008-11-09,7,13,12,8,2
2008-11-16,10,10,12,8,3
2008-11-23,5,10,15,7,3
2008-11-30,8,13,14,6,2
2008-12-07,7,9,15,7,3
2008-12-14,12,9,22,5,2
2008-12-21,7,12,26,4,2
2008-12-28,7,10,20,4,3
2009-01-04,8,7,29,6,3
2009-01-11,17,19,47,5,9
2009-01-18,8,12,51,3,3
2009-01-25,7,13,45,6,3
2009-02-01,5,11,51,5,3
2009-02-08,6,10,35,5,3
2009-02-15,6,13,32,4,3
2009-02-22,7,11,34,7,3
2009-03-01,11,12,26,5,3
2009-03-08,6,11,31,10,2
2009-03-15,5,10,24,7,2
2009-03-22,7,15,29,6,3
2009-03-29,7,12,24,7,3
2009-04-05,8,10,33,7,2
2009-04-12,6,14,31,6,2
2009-04-19,7,17,33,10,3
2009-04-26,7,14,54,7,2
2009-05-03,11,12,52,7,2
2009-05-10,13,17,48,7,4
2009-05-17,5,13,41,5,2
2009-05-24,8,11,33,6,2
2009-05-31,8,8,31,5,3
2009-06-07,6,10,26,4,3
2009-06-14,6,10,25,5,3
2009-06-21,5,9,30,4,2
2009-06-28,6,12,26,3,2
2009-07-05,6,13,25,4,2
2009-07-12,8,11,31,5,2
2009-07-19,7,9,41,6,3
2009-07-26,5,9,53,5,2
2009-08-02,6,16,55,4,3
2009-08-09,8,11,48,4,2
2009-08-16,8,9,54,7,2
2009-08-23,3,9,54,5,2
2009-08-30,5,14,57,2,2
2009-09-06,5,8,57,4,1
2009-09-13,8,13,60,4,4
2009-09-20,7,8,93,5,2
2009-09-27,6,7,83,8,3
2009-10-04,9,9,89,6,3
2009-10-11,5,11,73,5,3
2009-10-18,7,15,69,6,4
2009-10-25,8,13,65,6,3
2009-11-01,11,12,73,6,3
2009-11-08,11,14,58,4,3
2009-11-15,13,12,61,6,4
2009-11-22,7,12,68,4,3
2009-11-29,7,13,71,6,3
2009-12-06,6,11,63,5,6
2009-12-13,6,12,88,5,5
2009-12-20,7,15,87,3,4
2009-12-27,15,14,100,4,4
2010-01-03,5,11,57,5,5
2010-01-10,5,14,46,5,6
2010-01-17,5,14,55,7,5
2010-01-24,6,15,75,4,4
2010-01-31,6,18,62,5,4
2010-02-07,5,11,56,5,3
2010-02-14,8,11,50,5,3
2010-02-21,6,13,41,6,3
2010-02-28,5,16,40,6,3
2010-03-07,4,11,43,5,4
2010-03-14,6,16,39,6,3
2010-03-21,6,10,42,7,3
2010-03-28,7,14,38,4,1
2010-04-04,5,12,38,7,3
2010-04-11,6,13,40,6,3
2010-04-18,5,13,35,4,4
2010-04-25,8,10,37,5,4
2010-05-02,9,13,41,9,3
2010-05-09,6,10,46,7,4
2010-05-16,4,10,40,7,3
2010-05-23,8,9,37,7,4
2010-05-30,7,12,35,8,4
2010-06-06,8,11,27,6,3
2010-06-13,5,9,27,5,4
2010-06-20,5,14,27,5,3
2010-06-27,4,8,23,5,2
2010-07-04,4,10,23,3,2
2010-07-11,10,9,15,2,2
2010-07-18,4,9,17,4,2
2010-07-25,4,9,16,4,3
2010-08-01,4,6,18,4,3
2010-08-08,4,6,18,4,2
2010-08-15,5,6,17,4,2
2010-08-22,3,8,19,4,3
2010-08-29,4,10,17,5,2
2010-09-05,5,8,16,4,5
2010-09-12,4,12,15,5,4
2010-09-19,3,16,17,6,3
2010-09-26,12,11,15,7,3
2010-10-03,5,11,23,7,3
2010-10-10,7,9,27,6,2
2010-10-17,5,10,28,5,3
2010-10-24,5,11,35,7,2
2010-10-31,9,12,50,6,2
2010-11-07,5,11,48,6,3
2010-11-14,4,17,42,5,3
2010-11-21,5,9,39,5,3
2010-11-28,5,10,45,5,2
2010-12-05,4,10,43,7,2
2010-12-12,4,15,35,5,2
2010-12-19,5,11,50,5,2
2010-12-26,7,9,47,5,2
2011-01-02,6,8,48,4,1
2011-01-09,7,9,37,4,2
2011-01-16,7,13,37,4,2
2011-01-23,5,11,36,5,2
2011-01-30,5,11,30,4,2
2011-02-06,4,12,30,4,3
2011-02-13,4,8,25,5,2
2011-02-20,5,12,29,11,2
2011-02-27,6,10,24,4,2
2011-03-06,5,13,27,5,3
2011-03-13,5,11,21,5,3
2011-03-20,6,17,22,5,2
2011-03-27,4,16,22,5,3
2011-04-03,4,16,22,5,2
2011-04-10,7,11,21,14,3
2011-04-17,5,9,18,12,2
2011-04-24,3,11,18,5,2
2011-05-01,5,9,17,6,2
2011-05-08,4,8,18,7,3
2011-05-15,4,19,18,11,8
2011-05-22,4,12,18,4,13
2011-05-29,6,10,16,5,49
2011-06-05,9,9,15,4,34
2011-06-12,5,10,14,8,19
2011-06-19,5,10,16,5,13
2011-06-26,4,9,13,5,13
2011-07-03,5,10,13,4,9
2011-07-10,4,9,12,4,6
2011-07-17,4,8,10,4,7
2011-07-24,3,9,10,3,5
2011-07-31,4,6,14,4,5
2011-08-07,4,6,14,4,5
2011-08-14,3,7,9,5,7
2011-08-21,3,7,9,5,11
2011-08-28,4,9,10,3,15
2011-09-04,9,8,10,4,16
2011-09-11,4,9,9,4,15
2011-09-18,5,10,10,6,14
2011-09-25,11,8,10,5,10
2011-10-02,5,8,13,4,11
2011-10-09,5,9,12,4,10
2011-10-16,5,14,12,5,8
2011-10-23,6,11,13,6,8
2011-10-30,5,10,15,8,8
2011-11-06,5,9,15,8,8
2011-11-13,4,13,15,7,8
2011-11-20,4,10,15,8,9
2011-11-27,4,13,13,5,9
2011-12-04,5,12,13,4,7
2011-12-11,5,8,11,4,6
2011-12-18,4,11,9,4,6
2011-12-25,5,7,17,3,10
2012-01-01,5,8,14,5,7
2012-01-08,4,8,14,6,7
2012-01-15,4,11,11,4,11
2012-01-22,7,10,11,5,6
2012-01-29,5,9,10,5,6
2012-02-05,5,13,10,6,6
2012-02-12,4,11,10,6,4
2012-02-19,5,15,11,6,4
2012-02-26,4,11,12,7,5
2012-03-04,6,9,16,5,4
2012-03-11,3,8,11,6,5
2012-03-18,3,8,11,4,3
2012-03-25,5,15,11,6,4
2012-04-01,7,8,10,17,3
2012-04-08,4,9,8,12,3
2012-04-15,10,10,8,6,3
2012-04-22,5,9,10,7,3
2012-04-29,4,10,9,7,3
2012-05-06,4,9,12,9,4
2012-05-13,7,9,9,6,4
2012-05-20,3,7,8,5,5
2012-05-27,3,8,8,4,4
2012-06-03,4,15,8,5,4
2012-06-10,11,12,8,4,3
2012-06-17,5,14,8,4,3
2012-06-24,7,11,7,3,3
2012-07-01,5,7,7,3,3
2012-07-08,4,9,9,5,3
2012-07-15,4,6,9,4,3
2012-07-22,4,7,8,4,3
2012-07-29,4,9,7,4,3
2012-08-05,6,9,7,4,3
2012-08-12,4,9,7,4,3
2012-08-19,4,8,6,3,3
2012-08-26,6,10,8,5,3
2012-09-02,4,8,7,4,3
2012-09-09,6,11,8,8,3
2012-09-16,4,9,8,4,4
2012-09-23,4,10,9,5,3
2012-09-30,7,11,10,5,3
2012-10-07,5,14,13,4,4
2012-10-14,3,10,10,5,4
2012-10-21,4,10,10,5,3
2012-10-28,4,9,8,4,4
2012-11-04,4,9,9,6,3
2012-11-11,5,17,10,4,4
2012-11-18,5,13,8,5,4
2012-11-25,4,11,10,5,3
2012-12-02,4,12,12,5,3
2012-12-09,4,10,10,5,3
2012-12-16,4,8,7,4,3
2012-12-23,4,8,9,4,6
2012-12-30,5,13,11,5,5
